Title,Artist,Lyrics
No Love,Eminem,"

[Intro: Haddaway, Eminem, & Lil Wayne]
Love, love
Love, love, love
[Mumbling chorus]
Don't hurt me
Don't hurt me no more
Young Money, yeah
No more
Love

[Verse 1: Lil Wayne & Haddaway]
Throw dirt on me and grow a wildflower
But it's ""Fuck the world,"" get a child out her
Yeah, my life a bitch, but you know nothing 'bout her
Been to hell and back, I can show you vouchers (no love)
I'm rollin' Sweets, I'm smokin' sour
Married to the game, but she broke her vows
That's why my bars are full of broken bottles
And my nightstands are full of open Bibles
Uh, I think about more than I forget
But I don't go around fire expectin' not to sweat
And these niggas know I lay 'em down, make your bed
Bitches try to kick me while I'm down, I'll break your leg
Money outweighin' problems on a triple beam
I'm stickin' to the script, you niggas skippin' scenes
Uh, be good or be good at it
Fuckin' right, I got my gun, semi-Cartermatic
Yeah, put a dick in they mouth, so I guess it's fuck what they say
I'm high as a bitch, up, up and away
Man, I'll come down in a couple of days
Okay, you want me up in the cage?
Then I'll come out in beast mode
I got this world stuck in the safe, combination is the G code
It's Weezy, motherfucker, Blood gang, and I'm in bleed mode
All about my dough, but I don't even check the peephole
So you can keep knockin', but won't knock me down
No love lost, no love found

[Chorus: Eminem, Lil Wayne, Both, & (Haddaway)]
It's a little too late to say that you're sorry now (yeah)
You kicked me when I was down
But what you say just don't (hurt me)
That's right, it don't (hurt me)
And I don't need you (no more)
Don't wanna see you (no more)
Ha, bitch, you get no (love)
You showed me nothing but hate (haha!)
You ran me into the ground
But what comes around goes around (yeah)
And I don't need you (don't hurt me)
That's right, you don't (hurt me)
And I don't need you (no more)
Don't wanna see you
Ha, bitch, you get (no love)
No! (No love) No! (No love) No! (No love)
Ha, bitch, you get (no love)
No! (No love) No! (No love)
And I don't need you (no more)
Get 'em!

[Verse 2: Eminem, Lil Wayne, & Both]
I'm alive again, more alive than I have been
In my whole entire life, I can (yeah)
See these people's ears perk up as I begin to spaz with the pen
Uh, I'm a little bit sicker than most
Shit's finna get thick again, they say the competition is stiff
But I get a hard dick from this shit and I stick it in
I ain't never giving in again (yeah)
Caution to the wind, complete freedom
Look at these rappers, how I treat 'em
So why the fuck would I join 'em when I beat 'em? (yeah!)
They call me a freak, 'cause I like to
Spit on these pussies 'fore I eat 'em (haha)
Man, get these whack cocksuckers off stage!
Where the fuck is Kanye when you need him? (oh!)
Snatch the mic from 'em, bitch, I'ma let you finish in a minute
Yeah, that rap was tight, but I'm (yeah!)
'Bout to spit the greatest verse of all time
So you might want to go back to the lab tonight and, um (yeah!)
Scribble out them rhymes you were gonna spit
And start over from scratch and write new ones
But I'm afraid that it ain't gonna make no difference
When I rip this stage and tear it in half tonight
It's an adrenaline rush to feel the bass thump
From the place all the way to the parking lot, fellow
Set fire to the mic and ignite the crowd (yeah)
You can see the sparks from hot metal (yeah)
Cold-hearted, from the day I Bogarted
The game, my soul started to rot, fellow (yeah)
When I'm not even in my harshest
You can still get roasted, ‘cause Marsh is not mellow
'Til I'm topplin' from the top, I'm not gonna stop
I'm standin' on my Monopoly board (uh)
That means I'm on top of my game
And it don't stop 'til my hip don't hop anymore (shit)
When you're so good that you can't say it
‘Cause it ain't even cool for you to sound cocky anymore (shit)
People just get sick ‘cause you spit
These fools can't drool or dribble a drop anymore (ow!)
And you can never break my stride (nope)
You'll never slow the momentum at any moment
I'm 'bout to blow, you'll never take my pride
Killin' the flow, slow venom
And the opponent is gettin' no mercy, mark my words
Ain't lettin' up, relentless, I smell blood
I don't give a fuck, keep givin' them hell
Where was you when I fell and needed help up?
You get no love

[Chorus: Eminem, Lil Wayne, Both, & (Haddaway)]
It's a little too late to say that you're sorry now (uh)
You kicked me when I was down
But what you say just don't (hurt me)
Yeah, that's right, it don't (hurt me)
And I don't need you (no more)
Don't wanna see you (no more)
Ha, bitch, you get no (love)
You showed me nothing but hate (yeah!)
You ran me into the ground
But what comes around goes around
And I don't need you (don't hurt me)
That's right, you don't (hurt me)
And I don't need you (no more)
Don't wanna see you
Ha, bitch, you get (no love)
No! (No love) No! (No love) No! (No love)
Ha, bitch, you get (no love)
No! (No love) No! (No love)
And I don't need you (no more)
Ha, bitch, you get (no love)

"
The Fix (feat. Jeremih),Nelly,"

[Intro]
Yeah, Mustard on the beat ho

[Verse 1: Nelly]
Shawty hit me on the late night
Got a man, got me thinkin', shawty, ain’t right (Ain’t right)
She say she ain't about the creep life (Creep life)
But all she wanna do is take pipe
I ain't mad at nobody (Nobody)
I just wanna have your body (Your body)
Now, I can give you the key, girl
Or you can meet me in the lobby
Talkin' 'bout it

[Pre-Chorus: Nelly]
Oh, I'll lay you down and go down
Girl, 'til I reach your ocean
Oh, so come and get this dick

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin'
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'
Oh, baby
(Talkin' 'bout)
Baby

[Verse 2: Nelly]
Bust it open every time I get up inside
Soakin' wet, turn the bed to a slip 'n' slide
Spread eagle, nigga eatin' like it's suppa time
Shawty knows whose is it, it's all mine
I ain't mad at nobody (No-ooo)
I just wanna have your body (Your body, body)
And if you can take it deep
Then let a nigga like me, get at that body girl

[Pre-Chorus: Nelly]
Oh, I'll lay you down and go down
Girl, 'til I reach your ocean
Oh, so come and get this dick

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin'
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'

[Bridge: Jeremih (Nelly)]
Oh, baby
(Talkin' 'bout)
Baby
(Sweat 'em all out)
Baby
(I can't hold it much longer)
Baby
(I'm gettin' stronger and stronger)

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin' (Ah)
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'
Oh, baby
Baby

"
Yeah!,Usher,"

[Produced by Lil Jon]

[Intro: Usher & Lil Jon]
Peace up, A-Town down
Yeah! Okay
Lil Jon
Yeah, yeah, yeah, yeah, yeah, yeah!
Yeah, yeah, yeah, yeah, yeah, yeah!
Let's go!

[Verse 1: Usher & Lil Jon]
I was up in the club with my homies, trying to get a lil V-I
Keep it down on the low key
You should know how it feels (hey!)
I seen shorty, she was checking up on me
From the game she was spitting in my ear
You would think that she know me
I decided to chill (okay!)
Conversation got heavy
She had me feeling like she's ready to blow (watch out!)
Ohh! (watch out)
She's saying, come get me
So I got up and followed her to the floor
She said, baby let's go
When I told her (let's go!) I said

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Verse 2: Usher & Lil Jon]
She's all up in my head now, got me thinking
That it might be a good idea to take her with me
Cause she's ready to leave, ready to leave now (let's go!)
And I got to keep it real now
Cause on a one to ten, she's a certified twenty
But that just ain't me (hey!)
Cause I don't know, if I take that chance
Just where's it gonna lead
But what I do know is the way she dance
Make shorty alright with me
The way she get low
I'm like, yeah, just work that out for me
She asks for one more dance, and I'm like, yeah
How the hell am I supposed to leave
(Let's go, bring the beat back!) And I say

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Verse 3: Ludacris & Lil Jon]
Watch out, my outfit's ridiculous
In the club looking so conspicuous
And roar, these women all on the prowl
If you hold the head steady, I'ma milk the cow (yeah!)
And forget about game, I'ma spit the truth (what?)
I won't stop till I get 'em in their birthday suit (yeah!)
So gimme the rhythm and it'll be off with their clothes
Then bend over to the front and touch your toes
I left the Jag and I took the Rolls
If they ain't cutting, then I put em on foot patrol (let's go!)
How you like me now?
When my pinky's valued over three hundred thousand
Let's drink, you the one to please (yeah!)
Ludacris fill cups like double D's (yeah!)
Me and Ursh' once more, and we leaves 'em dead
We want a lady in the street but a freak in the bed that say

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Outro: Ludacris & Lil Jon]
Take that and rewind it back
Lil Jon got the beat that make your booty go (clap)
Take that, rewind it back
Ursher got the voice make your booty go (clap)
Take that, rewind it back
Ludacris got the flow to make your booty go (clap)
Take that, rewind it back
Lil Jon got the beat that make your booty go (clap)

[Video Outro: Lil Jon]
Let me see you do the A-town stomp!
Do the A-town stomp!
Now do the muscle, do the muscle!
Do the muscle, do the muscle!
A thunder clap, hey! A thunder clap, hey!
A thunder clap, hey! A thunder clap, hey!
Rock a way, rock a way, rock a way, rock a way and cut!

"
OMG,Usher,"

[Intro: will.i.am & Usher]
Oh my gosh
Baby let me
I did it again, so I'm gon' let the beat rock
Oh my

[Chorus: Usher]
Baby, let me love you down
There's so many ways to love you
Baby, I can break you down
There's so many ways to love you
Got me like, ""Oh my gosh"", I'm so in love
I found you finally, you make me want to say
Oh oh oh-oh oh, oh oh oh-oh oh
Oh oh oh-oh oh, oh oh, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)

[Bridge: Usher]
You make me want to say
(Oh oh oh-oh oh, oh oh oh-oh)
Oh oh oh-oh oh, oh oh oh-oh

[Verse 1: Usher]
I fell in love with shawty when I seen her on the dance floor
(Oh oh oh-oh oh, oh oh oh-oh)
She was dancing sexy, pop-pop-popping, dropping, dropping low
(Oh oh oh-oh oh, oh oh oh-oh)
Never ever has a lady hit me on the first sight
(Oh oh oh-oh oh, oh oh oh-oh)
This was something special, this was just like dynamite
(Oh oh oh-oh oh, oh oh oh-oh)
Honey got a booty like pow, pow, pow
Honey got some boobies like wow, oh wow
Girl, you know I'm loving your, loving your style
Check, check, check, check, check, checking you out like

[Pre-Chorus: Usher]
Oh
She got it all
Sexy from her head to toe
And I want it all, it all, it all

[Chorus: Usher]
Baby, let me love you down
There's so many ways to love you
Baby, I can break you down
There's so many ways to love you
Got me like, ""Oh my gosh"", I'm so in love
I found you finally, you make me want to say
Oh oh oh-oh oh, oh oh oh-oh oh
Oh oh oh-oh oh, oh oh, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)

[Bridge: Usher]
You make me want to say
(Oh oh oh-oh oh, oh oh oh-oh)
You make me want to say
(Oh oh oh-oh oh, oh oh oh-oh)
Oh oh oh-oh oh, oh oh oh-oh

[Verse 2: will.i.am]
Feel so hot for honey out of all the girls up in the club
(Oh oh oh-oh oh, oh oh oh-oh)
This one got me whipped just off of one look, yep, I fell in love
(Oh oh oh-oh oh, oh oh oh-oh)
This one something special, this one just like dynamite
(Oh oh oh-oh oh, oh oh oh-oh)
O-o-o-o-o-o-o-out of sight
Fell in love with honey like my, oh my
Honey looking wonderful, fly, so fly
Honey like a supermodel, my, oh my
Baby, how you do that, make a grown man cry?

[Pre-Chorus: Usher]
Oh
Baby, you got it all
Sexy from her head to toe
And I want it all, it all, it all

[Chorus: Usher]
So honey, let me love you down
There's so many ways to love you
Baby, I can break you down
There's so many ways to love you
Got me like, ""Oh my gosh"", I'm so in love
I found you finally, you make me want to say
Oh oh oh-oh oh, oh oh oh-oh oh
Oh oh oh-oh oh, oh oh, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)

[Bridge: Usher]
Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)
Oh my (Oh oh oh-oh oh, oh oh oh-oh)
Oh my (Oh oh oh-oh oh, oh oh oh-oh)
Oh (Oh oh oh-oh oh, oh oh oh-oh)
Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)

[Outro: Usher & will.i.am]
Oh my gosh (Oh oh oh-oh oh, oh oh oh-oh)
I did it again, so I'm gon' let the beat rock
(Oh oh oh-oh oh, oh oh oh-oh)
Oh-oh-oh my, oh oh
(Oh oh oh-oh oh, oh oh oh-oh)
Oh my, my, my, my, my, my, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)
Oh-oh-oh my, oh oh
(Oh oh oh-oh oh, oh oh oh-oh)
Oh my, my, my, my, my, my, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)
Oh-oh-oh my, oh oh
Oh my, my, my, my, my, my, oh my gosh
(Oh oh oh-oh oh, oh oh oh-oh)

"
With You,Chris Brown,"

[Intro]
I need you, boo
I gotta see you, boo
And the hearts all over the world tonight
Said the hearts all over the world tonight
And I need you, boo (Oh)
I gotta see you, boo (Hey)
And the hearts all over the world tonight
Said the hearts all over the world tonight (Uh, uh)

[Verse 1]
Hey little mama, ooh, you're a stunner
Hot little figure, yes, you're a winner
And I'm so glad to be yours
You're a class all your own
And ooh, little cutie, when you talk to me
I swear the whole world stops, you're my sweetheart
And I'm so glad that you're mine
You are one of a kind and

[Pre-Chorus]
You mean to me what I mean to you
And together, baby, there is nothing we won't do
'Cause if I got you, I don't need money, I don't need cars
Girl, you're my all

[Chorus]
And oh, I'm into you
And girl, no one else would do
'Cause with every kiss and every hug
You make me fall in love
And now I know I can't be the only one
I bet there's hearts all over the world tonight
With the love of their life who feels
What I feel when I'm
With you, with you, with you, with you, with you, girl
With you, with you, with you, with you, with you

[Verse 2]
Oh girl, I don't want nobody else
Without you, there's no one left then
You're like Jordans on Saturday
I gotta have you and I cannot wait now
Hey, little shawty, say you care for me
You know I care for you, you know that I'll be true
You know that I won't lie, you know that I would try
To be your everything, yeah

[Pre-Chorus]
'Cause if I got you, I don't need money, I don't need cars
Girl, you're my all

[Chorus]
And oh, I'm into you (Into you)
And girl, no one else would do (Won't)
'Cause with every kiss and every hug (Hug)
You make me fall in love
And now I know I can't be the only one (I know I can't be the only)
I bet there's hearts all over the world tonight
With the love of their life who feels
What I feel when I'm
With you, with you, with you, with you, with you, oh
With you, with you, with you, with you, with you, hey, hey

[Bridge]
And I will never try to deny that you are my whole life
'Cause if you ever let me go, I would die so I won't front
I don't need another woman, I just need your all and nothing
'Cause if I got that then I'll be straight
Baby, you're the best part of my day
I need you, boo
I gotta see you, boo
And the hearts all over the world tonight (Hey, hey)
Said the hearts all over the world tonight (Ooh, ooh, ooh, yeah)
They need it, boo (They need it)
They gotta see their boo
Said there's hearts all over the world tonight
Hearts all over the world tonight

[Chorus]
Oh, oh, I'm into you (I'm into you, baby)
And girl, no one else would do
'Cause with every kiss (Every kiss) and every hug (Every hug)
You make me fall in love (You make me)
And now I know I can't be the only one (Can't be the only one)
I bet there's hearts all over the world tonight
With the love of their life who feels
What I feel when I'm
With you, with you, with you, with you, with you, girl
With you, with you, with you, with you, with you, oh
With you, with you, with you, with you, with you, with you
Only with you, with you, with you, with you, with you, babe yeah

"
Closer,Ne-Yo,"

[Intro]
Closer
Closer
Closer
Closer

[Verse 1]
Turn the lights off in this place
And she shines just like a star
And I swear I know her face
I just don't know who you are
Turn the music up in here
I still hear her loud and clear
Like she's right there in my ear
Telling me that she wants to own me
To control me

[Pre-Hook]
Come closer
Come closer

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop

[Verse 2]
I can feel her on my skin
I can taste her on my tongue
She's the sweetest taste of sin
The more I get the more I want
She wants to own me

[Pre-Hook]
Come closer
Come closer

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop

[Interlude 1]
Come closer
Come closer
Come closer
Come closer

[Interlude 2]
I just can't stop, no no
I just can't stop, no no
I just can't stop, no no
I just can't stop, no no
No, no, no, no

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
Come closer

"
Work Out,J. Cole,"

[Intro]
I want to see you work out for me, work out for me

[Chorus]
Ayy, we've got a good thing
Don’t know if I’ma see you again
But is that a good thing?
'Cause girl, I can’t be your man, no ma'am
I know what's on your brain
You probably hoped it never would end
Like, “Is it the real thing
Or is it just a one-night stand?”
Well then

[Bridge]
Let me see you get high, then go low
Now, girl, won't you drop that thing down to the floor?
I’m here for one night, how far will you go?
I wanna see you (Work out for me, work out for me)
High, then go low
Now, girl, won't you drop that thing down to the floor?
I’m here for one night, how far will you go?
I wanna see you (Work out for me, work out for me)

[Verse 1]
She like them boys with the big ol' chains
Ridin' around town in a big ol' Range
I knew her when I rocked big ol' jeans
Now the little nigga doin' big ol' thangs
Would you look at that? I came back for her
Just to give it to ya, like you asked for it
Man, that thing in them jeans too fat for her
Rebounds so I caught her off the backboard
I told her: “Baby girl, come here
Know I run the town even when I ain't from there.”
And I brag hardly, but just to show up at this party
I made what yo' nigga make in one year
That's unfair, but so is life, take a chance, roll the dice
Money can’t buy you love, 'cause it’s overpriced
Don’t overthink, just hope it's right
I’m only here for the night

[Chorus]
Ayy, we've got a good thing
Don’t know if I’ma see you again
But is that a good thing?
'Cause girl, I can’t be your man, no ma'am
I know what's on your brain
You probably hoped it never would end
Like, “Is it the real thing
Or is it just a one-night stand?”
Well then

[Bridge]
Let me see you get high, then go low
Now, girl, won't you drop that thing down to the floor?
I’m here for one night, how far will you go?
I wanna see you (Work out for me, work out for me)
High, then go low
Now, girl, won't you drop that thing down to the floor?
I’m here for one night, how far will you go?
I wanna see you (Work out for me, work out for me)

[Verse 2]
Carolina Blue kicks, fresh on the scene
Hottest nigga on the block
Damn, girl, you're mean
They be startin' shit, but it’s yo' world
On my Martin shit: “You go, girl!”
She bad and she know it
Some niggas save hoes, I’m not that heroic
Could you be my escort?
'Cause just like them two door Fords
Damn, they don’t make 'em like you no more
Cole World, real Cole World
Them boys cool—me, I’m on fire
Know what's on my mind
Tryna see what's on yours tonight, tonight, tonight
Move slow, 'cause you wanna live fast
Up late so you'll probably skip class
Life is a test so before the night pass, get right, get right

[Chorus]
Ayy, we've got a good thing
Don’t know if I’ma see you again
But is that a good thing?
'Cause girl, I can’t be your man, no ma'am
I know what's on your brain
You probably hoped it never would end
Like, “Is it the real thing
Or is it just a one-night stand?”
Well then (Cole World)

[Outro]
Straight up, now tell me
Do you really wanna love me forever? (Oh oh oh)
Or is it just a hit-and-run?
(Well, hey) Straight up, I tell ya
I just really wanna cut when we together (Oh oh oh)
Come here, girl, let's get it on!
(Work out for me)
Straight up, now tell me
Do you really wanna love me forever? (Oh oh oh)
Or is it just a hit-and-run?
Well straight up, I tell ya
I just really wanna cut when we together (Oh oh oh)
Come here, girl, let's get it on!
(Work out for me)

"
Who Knew,P!nk,"

[Verse 1]
You took my hand, you showed me how
You promised me you'd be around
Uh-huh, that's right
I took your words and I believed
In everything you said to me
Yeah-huh, that's right

[Chorus]
If someone said three years from now
You'd be long gone
I'd stand up and punch them out
'Cause they're all wrong
I know better, 'cause you said forever
And ever, who knew?

[Verse 2]
Remember when we were such fools
And so convinced and just too cool
Oh no, no no
I wish I could touch you again
I wish I could still call you friend
I'd give anything

[Chorus]
When someone said count your blessings now
'Fore they're long gone
I guess I just didn't know how
I was all wrong
They knew better, still you said forever
And ever, who knew?

[Bridge]
Yeah, yeah
I'll keep you locked in my head
Until we meet again
Until we, until we meet again
And I won't forget you my friend
What happened?

[Chorus]
If someone said three years from now
You'd be long gone
I'd stand up and punch them out
'Cause they're all wrong and

[Outro]
That last kiss, I'll cherish, until we meet again
And time makes it harder, I wish I could remember
But I keep your memory, you visit me in my sleep
My darling, who knew?
My darling, my darling, who knew?
My darling, I miss you
My darling, who knew?
Who knew?

"
I Drive Your Truck,Lee Brice,"

[Verse 1]
Eighty-nine cents in the ash tray
Half empty bottle of Gatorade rolling in the floorboard
That dirty Braves cap on the dash
Dog tags hangin’ from the rear view
Old Skoal can, and cowboy boots
And a Go Army shirt folded in the back

[Pre-Chorus]
This thing burns gas like crazy, but that’s alright
People got their ways of copin', oh, and I’ve got mine

[Chorus]
I drive your truck
I roll every window down
And I burn up
Every back road in this town
I find a field, I tear it up
'Til all the pain’s a cloud of dust
Yeah, sometimes
I drive your truck

[Verse 2]
I leave that radio playin'
That same ol' country station where ya left it
Yeah, man I crank it up
And you’d probably punch my arm right now
If you saw this tear rollin’ down on my face
Hey, man I’m tryin’ to be tough

[Pre-Chorus]
And momma asked me this mornin' if I’d been by your grave
But that flag and stone ain’t where I feel you anyway

[Chorus]
I drive your truck
I roll every window down
And I burn up
Every back road in this town
I find a field, I tear it up
'Til all the pain’s a cloud of dust
Yeah, sometimes
I drive your truck

[Bridge]
I’ve cussed, I’ve prayed, I’ve said goodbye
Shook my fist and asked God why
These days when I’m missin' you this much

[Chorus]
I drive your truck
I roll every window down
And I burn up
Every back road in this town
I find a field, I tear it up
'Til all the pain’s a cloud of dust
Yeah, sometimes (Brother, sometimes)
I drive your truck

[Outro]
I drive your truck
I drive your truck
I hope you don’t mind, I hope you don’t mind
I drive your truck

"
Drinking class,Lee Brice,"

We're up when the rooster crows
Clock in when the whistle blows
Eight hours ticking slow
And then tomorrow
We'll do it all over again

I'm a member of a blue collar crowd
They can never, no they can't keep us down
If you gotta, gotta label me
Label me 'proud'

I belong to the drinking class
Monday through Friday, man
We bust our backs
If you're one of us
Raise your glass
I belong to the drinking class

We laugh, we cry, we love
Go hard when the going's tough
Push back on push and shove
Knock us down, we'll get back up again and again

I'm a member of a good timing crowd
We get rowdy, we get wild and loud
If you gotta, gotta label me
Label me proud

I belong to the drinking class
Monday through Friday, man
We bust our backs
If you're one of us
Raise your glass
I belong to the drinking class

We all know why we're here
A little fun, a little music
A little whiskey, a little beer
We going to shake off those long week blues
Ladies, break out your dancing shoes
It don't matter what night it is, it's Friday
It's Saturday, it's Sunday
I just wanna hear you say
I just wanna hear you singing
Y'all Sing it with me

We belong to the drinking class
Monday through Friday, man
We bust our backs
If you're one of us
Raise your glass
We belong to the drinking class

"
House Party,Sam Hunt,"

[Verse 1]
You're on the couch, blowing up my phone
You don't want to come out, but you don't want to be alone
It don't take but two to have a little soiree
If you're in the mood, sit tight right where you are, babe

[Verse 2]
'Cause I'll be at your door in ten minutes
Whatever you got on, girl, stay in it
You ain't gotta leave the house to have a good time
I'ma bring the good time home to you

[Chorus]
We'll have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors til the whole block hates us
And the cops show up and try to shut us down

[Post-Chorus]
If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party

[Verse 3]
Throw a neon t-shirt over the lamp shade
I'll take the furniture, slide it out of the way
Shaking the floor, rattling the roof
We'll go to town right there in your living room

[Chorus]
Let's have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors til the whole block hates us
And the cops will show up and try to shut us down

[Post-Chorus]
If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party

[Bridge]
So I'll be at your door in ten minutes
Whatever you got on, baby, stay in it
You ain't gotta leave the house to have a good time
I'ma bring the good time home to you

[Chorus]
We'll have a house party, we don't need nobody
Turn your TV off, break that boombox out
We'll wake up all the neighbors til the whole block hates us
And the cops will show up and try to shut us down

[Post-Chorus]
If you're gonna be a homebody
We're gonna have a house party
If you wanna be a homebody
We're gonna have a house party

"
Leave The Night On,Sam Hunt,"

[Verse 1]
They roll the sidewalks in this town, all up after the sun goes down
They say nothin' good happens here when midnight rolls around
But layin' down would be in vain, I can't sleep with you on my brain
And I ain't anywhere close to tired
Your kiss has got me wired

[Chorus]
Girl, you got the beat right, killin' in your Levis
High on your love has got me buzzin' like a streetlight
It's still early out in Cali, baby, don't you wanna rally again
We'll find a road with no name, lay back in the slow lane
The sky is dropping Jupiter around us like some old Train
We'll be rolling down the windows, I bet you we're catchin' our second wind
We don't have to go home, we can leave the night on
We can leave the night on

[Verse 2]
Now all the stars are turnin' blue, just kissed the clock 2:22
Baby, I know what you're wishin' for, I'm wishin' for it too
Now all the lights are flashin' gold, nobody cares how fast we go
Our soundtrack's in the stereo
The DJ's on a roll

[Chorus]
Girl, you got the beat right, killin' in your Levis
High on your love has got me buzzin' like a streetlight
It's still early out in Cali, baby, don't you wanna rally again
We'll find a road with no name, lay back in the slow lane
The sky is dropping Jupiter around us like some old Train
We'll be rolling down the windows, I bet you we're catchin' our second wind
We don't have to go home, we can leave the night on
We can leave the night on

[Bridge]
The sun'll steal the magic from us soon
So let's take one more trip around the moon

[Chorus 2]
Girl, you got the beat right, killin' in your Levis
High on your love has got me buzzin' like a streetlight
It's still early out in Cali, baby, don't you wanna rally
We'll find a road with no name, lay back in the slow lane
The sky is dropping Jupiter all around us like some old Train
We'll be rolling down the windows, I bet you we're catchin' our second wind
We don't have to go home, we can leave the night on
We can leave the night on
We can leave the night on

[Outro]
Buzzin' like a streetlight
We can leave 'em on tonight

"
Lie a Little Better,Lucy Hale,"

[Verse 1]
I just missed my exit
Last night, I lost my keys
I'm fumbling over the words, I
Don’t feel a bit like me these days
I would be a liar
If I said I was fine
But I can't help being honest
And I know now is not the time 'cause

[Chorus]
The truth is, I'm falling to pieces
Anytime that you're around
Trouble is, the truth keeps slipping out
Can't seem to hide what I'm feeling
Can't believe what I'm saying out loud
Truth is, there's no turning back now
I guess I should've learned how to lie a little better
Whoa, oh, oh, oh, ohhh, oh
Whoa, oh, oh, oh, ohhh, oh

[Verse 2]
Been trying to cover
This heart out on my sleeve
Been set on playing this down, but
I think you're catching on to me

[Chorus]
The truth is, I'm falling to pieces
Anytime that you're around
Trouble is, the truth keeps slipping out
Can't seem to hide what I'm feeling
Can't believe what I'm saying out loud
Truth is, there's no turning back now
Well, I guess I should've learned how to lie a little better
Whoa, oh, oh, oh, ohhh, oh
Whoa, oh, oh, oh, ohhh, oh

[Bridge]
I'm losing this battle
With every word I say
Wish I had a better lesson
Of not giving myself away 'cause

[Chorus]
The truth is, I'm falling to pieces
Anytime that you're around
Trouble is, the truth keeps slipping out
Can't seem to hide what I'm feeling
Can't believe what I'm saying out loud
Truth is, there's no turning back now
Well, I guess I should've learned how to lie a little better
Whoa, oh, oh, oh, ohhh, oh
Whoa, oh, oh, oh, ohhh, oh
Whoa, oh, oh, oh, ohhh, oh
Whoa, oh, oh, oh, ohhh, oh

"
